task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
11	0b/6c0f3459	10011	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_QUANT (SRX1603629_T1)	COMPLETED	0	2025-06-10 11:20:21	1h 21m 34s	1h 21m 34s	405.3%	3.9 GB	5.1 GB	12.3 GB	4.1 GB
12	0c/f9341c68	10012	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_QUANT (SRX1603630_T1)	COMPLETED	0	2025-06-10 11:20:21	1h 29m 43s	1h 29m 43s	342.8%	3.1 GB	4.1 GB	12.3 GB	4.1 GB
13	0d/08d6af57	10013	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_QUANT (SRX1603392_T1)	COMPLETED	0	2025-06-10 11:20:21	1h 26m 57s	1h 26m 57s	380.6%	3.5 GB	4.6 GB	12.3 GB	4.1 GB
14	0e/5dfbd3d1	10014	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_QUANT (SRX1603393_T1)	COMPLETED	0	2025-06-10 11:20:21	1h 22m 31s	1h 22m 31s	368.5%	3.6 GB	4.7 GB	12.3 GB	4.1 GB
15	0f/705fca16	10015	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_QUANT (SRX1603388_T1)	COMPLETED	0	2025-06-10 11:20:21	1h 20m 46s	1h 20m 46s	400.9%	3.2 GB	4.2 GB	12.3 GB	4.1 GB
16	10/5eda92d8	10016	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_QUANT (SRX1603389_T1)	COMPLETED	0	2025-06-10 11:20:21	0h 55m 3s	0h 55m 3s	339.6%	3.8 GB	5.0 GB	12.3 GB	4.1 GB
17	11/fbb230bb	10017	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_QUANT (SRX1603391_T1)	COMPLETED	0	2025-06-10 11:20:21	0h 51m 40s	0h 51m 40s	325.2%	3.6 GB	4.7 GB	12.3 GB	4.1 GB
18	12/3a1890c7	10018	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_QUANT (SRX1603390_T1)	COMPLETED	0	2025-06-10 11:20:21	1h 15m 22s	1h 15m 22s	397.7%	3.0 GB	3.9 GB	12.3 GB	4.1 GB
19	13/3b6fe507	10019	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRX1603629_T1)	COMPLETED	0	2025-06-10 11:20:21	1h 44m 36s	1h 44m 36s	288.6%	1.9 GB	2.5 GB	12.3 GB	4.1 GB
20	14/e8e5b461	10020	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRX1603630_T1)	COMPLETED	0	2025-06-10 11:20:21	1h 21m 33s	1h 21m 33s	316.3%	1.6 GB	2.1 GB	12.3 GB	4.1 GB
21	15/c89da11b	10021	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRX1603392_T1)	COMPLETED	0	2025-06-10 11:20:21	1h 32m 35s	1h 32m 35s	326.1%	1.4 GB	1.8 GB	12.3 GB	4.1 GB
22	16/21167d8f	10022	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRX1603393_T1)	COMPLETED	0	2025-06-10 11:20:21	1h 54m 33s	1h 54m 33s	324.5%	1.7 GB	2.2 GB	12.3 GB	4.1 GB
23	17/deb8fc4c	10023	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRX1603388_T1)	COMPLETED	0	2025-06-10 11:20:21	1h 33m 18s	1h 33m 18s	278.3%	1.4 GB	1.9 GB	12.3 GB	4.1 GB
24	18/d037cdff	10024	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRX1603389_T1)	COMPLETED	0	2025-06-10 11:20:21	1h 32m 56s	1h 32m 56s	324.7%	1.6 GB	2.1 GB	12.3 GB	4.1 GB
25	19/9cc9af4e	10025	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRX1603391_T1)	COMPLETED	0	2025-06-10 11:20:21	1h 21m 41s	1h 21m 41s	288.5%	1.8 GB	2.3 GB	12.3 GB	4.1 GB
26	1a/8cfe5cd1	10026	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRX1603390_T1)	COMPLETED	0	2025-06-10 11:20:21	1h 35m 23s	1h 35m 23s	312.4%	1.8 GB	2.3 GB	12.3 GB	4.1 GB
27	1b/d1020a15	10027	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (SRX1603629_T1)	COMPLETED	0	2025-06-10 11:20:21	1h 5m 41s	1h 5m 41s	207.9%	1.4 GB	1.8 GB	12.3 GB	4.1 GB
28	1c/de3a5db5	10028	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (SRX1603630_T1)	COMPLETED	0	2025-06-10 11:20:21	0h 38m 51s	0h 38m 51s	216.6%	1.1 GB	1.4 GB	12.3 GB	4.1 GB
29	1d/1c07724e	10029	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (SRX1603392_T1)	FAILED	137	2025-06-10 11:20:21	0h 19m 8s	0h 19m 8s	205.3%	1.2 GB	1.5 GB	12.3 GB	4.1 GB
30	1e/2adf559a	10030	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (SRX1603392_T1)	COMPLETED	0	2025-06-10 11:20:21	1h 3m 37s	1h 3m 37s	171.1%	1.2 GB	1.5 GB	12.3 GB	4.1 GB
31	1f/b62ac1fe	10031	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (SRX1603393_T1)	COMPLETED	0	2025-06-10 11:20:21	0h 54m 53s	0h 54m 53s	170.1%	1.2 GB	1.5 GB	12.3 GB	4.1 GB
32	20/4fdf8e1a	10032	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (SRX1603388_T1)	COMPLETED	0	2025-06-10 11:20:21	1h 0m 33s	1h 0m 33s	189.8%	1.1 GB	1.4 GB	12.3 GB	4.1 GB
33	21/e65a8149	10033	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (SRX1603389_T1)	COMPLETED	0	2025-06-10 11:20:21	0h 51m 26s	0h 51m 26s	171.3%	1.1 GB	1.4 GB	12.3 GB	4.1 GB
34	22/f9bddea5	10034	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (SRX1603391_T1)	COMPLETED	0	2025-06-10 11:20:21	1h 9m 26s	1h 9m 26s	217.9%	1.2 GB	1.6 GB	12.3 GB	4.1 GB
35	23/2904acec	10035	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (SRX1603390_T1)	FAILED	137	2025-06-10 11:20:21	0h 19m 11s	0h 19m 11s	168.8%	1.4 GB	1.8 GB	12.3 GB	4.1 GB
36	24/d50e0097	10036	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (SRX1603390_T1)	COMPLETED	0	2025-06-10 11:20:21	0h 52m 14s	0h 52m 14s	190.4%	1.2 GB	1.6 GB	12.3 GB	4.1 GB
37	25/39235bc0	10037	NFCORE_RNASEQ:RNASEQ:MULTIQC	COMPLETED	0	2025-06-10 11:20:21	0h 3m 51s	0h 3m 51s	103.9%	0.9 GB	1.1 GB	12.3 GB	4.1 GB
